Trial,Dec_Latency_ns,Dec_RAM_Bytes,CPU_Percent,Dec_Throughput_bps
586,39046999,34684928,101.2,1074169515.56
587,39040350,34684928,101.2,1074352458.42
588,38915629,34684928,101.6,1077795658.91
589,38956314,34684928,101.5,1076670036.08
590,39288886,34684928,100.6,1067556254.97
591,38909313,34684928,101.6,1077970613.36
592,39068683,34684928,101.2,1073573327.26
593,38979146,34684928,101.4,1076039377.57
594,38922350,34684928,76.2,1077609548.24
595,39166498,34684928,100.9,1070892169.12
596,39166979,34684928,100.8,1070879017.76
597,39009313,34684928,101.3,1075207246.02
598,39001257,34684928,101.3,1075429338.09
599,38919221,34684928,101.6,1077696185.13
600,39128887,34684928,101.0,1071921519.26
601,38990332,34684928,101.4,1075730670.88
602,39210219,34684928,100.8,1069698080.49
603,39108683,34684928,101.1,1072475286.37
604,39277312,34684928,100.6,1067870835.97
605,39843309,34684928,99.2,1052701119.78
606,39270534,34684928,100.7,1068055147.91
607,39205645,34684928,100.8,1069822878.82
608,39174256,34684928,100.9,1070680091.54
609,39066572,34684928,101.2,1073631338.83
610,39014368,34684928,75.9,1075067933.95
611,39041369,34684928,101.2,1074324417.26
612,38925295,34684928,101.5,1077528018.73
613,38921591,34684928,101.6,1077630562.43
614,39037184,34684928,101.3,1074439590.72
615,39165553,34684928,100.9,1070918007.98
616,38914888,34684928,101.6,1077816181.82
617,38969924,34684928,101.4,1076294015.87
618,39118164,34684928,101.0,1072215352.44
619,38941425,34684928,101.4,1077081693.85
620,38926869,34684928,101.5,1077484449.11
621,39127479,34684928,101.0,1071960092.29
622,38940573,34689024,101.4,1077105259.85
623,39002572,34689024,101.3,1075393079.21
624,38942591,34689024,101.5,1077049444.40
625,39051739,34689024,101.2,1074039135.62
626,39015591,34689024,76.0,1075034234.39
627,38966813,34689024,101.3,1076379944.13
628,39160553,34689024,100.9,1071054742.26
629,39317738,34689024,100.5,1066772864.71
630,39219182,34689024,100.8,1069453615.84
631,39139739,34689024,101.0,1071624315.12
632,39522977,34689024,100.0,1061233216.31
633,39151627,34689024,100.9,1071298927.12
634,39133294,34689024,101.0,1071800804.71
635,39018961,34689024,101.3,1074941385.55
636,39086609,34693120,101.1,1073080962.33
637,39019999,34693120,101.2,1074912790.23
638,38984331,34693120,101.2,1075896262.01
639,39000961,34693120,101.3,1075437500.12
640,39169367,34693120,100.9,1070813730.54
641,39052332,34693120,101.2,1074022826.60
642,39096479,34693120,101.1,1072810060.47
643,39041758,34693120,101.2,1074313713.02
644,39081386,34693120,101.1,1073224373.36
645,39012461,34693120,101.3,1075120485.22
646,38981610,34693120,101.3,1075971361.88
647,38966036,34693120,101.4,1076401407.63
648,38972555,34693120,76.1,1076221356.29
